n is 783
i     sa    suffix                              lcp   t s  rank   lcp[rank]
500   746   10010010100100101001010010010100101 34    2 0  20     69   
501   346   10010010100100101001010010010100101 36    0 0  316    68   
502   554   10010010100100101001010010010100101 36    1 1  614    67   
503   499   10010010100100101001010010010100101 70    1 0  131    66   
504   113   10010010100100101001010010010100101 125   0 0  429    65   
505   657   10010010100100101001010010010100101 123   2 1  727    64   
506   257   10010010100100101001010010010100101 125   0 0  246    63   
507   410   10010010100100101001010010010100101 125   1 1  544    62   
508   24    10010010100100101001010010010100101 214   0 0  61     61   
509   168   10010010100100101001010010010100101 212   0 0  358    60   
510   712   10010010100100101001010010010100101 68    2 1  656    59   
511   312   10010010100100101001010010010100101 70    0 0  173    58   
512   465   10010010100100101001010010010100101 70    1 0  471    57   
513   79    10010010100100101001010010010100101 159   0 1  769    56   
514   223   10010010100100101001010010010100101 157   0 0  291    55   
515   767   100100101001010                     13    2 1  589    54   
516   367   100100101001010$0100101001001010010 15    0 0  106    53   
517   596   1001001010010100100101001001#010010 15    1 0  404    52   
518   575   10010010100101001001010010010100101 28    1 1  702    51   
519   520   10010010100101001001010010010100101 49    1 0  221    50   
520   134   10010010100101001001010010010100101 104   0 1  519    49   
521   678   10010010100101001001010010010100101 102   2 0  36     48   
522   278   10010010100101001001010010010100101 104   0 0  333    47   
523   431   10010010100101001001010010010100101 104   1 1  631    46   
524   45    10010010100101001001010010010100101 193   0 0  148    45   
525   189   10010010100101001001010010010100101 191   0 0  446    44   
526   733   10010010100101001001010010010100101 47    2 1  744    43   
527   333   10010010100101001001010010010100101 49    0 0  264    42   
528   541   10010010100101001001010010010100101 49    1 1  562    41   
529   486   10010010100101001001010010010100101 83    1 0  79     40   
530   100   10010010100101001001010010010100101 138   0 0  377    39   
531   644   10010010100101001001010010010100101 136   2 1  675    38   
532   244   10010010100101001001010010010100101 138   0 0  194    37   
533   397   10010010100101001001010010010100101 138   1 1  492    36   
534   11    10010010100101001001010010010100101 227   0 0  9      35   
535   155   10010010100101001001010010010100101 225   0 0  300    55   
536   699   10010010100101001001010010010100101 81    2 1  598    54   
537   299   10010010100101001001010010010100101 83    0 0  115    53   
538   452   10010010100101001001010010010100101 83    1 0  413    52   
539   66    10010010100101001001010010010100101 172   0 1  711    51   
540   210   10010010100101001001010010010100101 170   0 0  230    50   
541   754   1001001010010100100101001010        26    2 1  528    49   
542   354   1001001010010100100101001010$010010 28    0 0  45     48   
543   562   10010010100101001001010010100100101 28    1 0  342    47   
544   507   10010010100101001001010010100100101 62    1 1  640    46   
545   121   10010010100101001001010010100100101 117   0 0  157    45   
546   665   10010010100101001001010010100100101 115   2 0  455    44   
547   265   10010010100101001001010010100100101 117   0 1  753    43   
548   418   10010010100101001001010010100100101 117   1 0  274    42   
549   32    10010010100101001001010010100100101 206   0 1  572    41   
550   176   10010010100101001001010010100100101 204   0 0  89     40   
551   720   10010010100101001001010010100100101 60    2 0  387    39   
552   320   10010010100101001001010010100100101 62    0 1  685    38   
553   473   10010010100101001001010010100100101 62    1 0  204    37   
554   87    10010010100101001001010010100100101 151   0 1  502    36   
555   631   10010010100101001001010010100100101 149   2 0  19     35   
556   231   10010010100101001001010010100100101 151   0 0  315    34   
557   775   1001010                             5     2 1  613    33   
558   375   1001010$010010100100101001001010010 7     0 0  130    32   
559   612   100101001001#0100101001001010010100 7     1 0  428    31   
560   604   10010100100101001001#01001010010010 12    1 1  726    30   
561   583   10010100100101001001010010100100101 20    1 0  245    29   
562   528   10010100100101001001010010100100101 41    1 1  543    28   
563   384   10010100100101001001010010100100101 96    1 0  60     27   
564   142   10010100100101001001010010100100101 238   0 0  357    26   
565   686   10010100100101001001010010100100101 94    2 1  655    25   
566   286   10010100100101001001010010100100101 96    0 0  172    24   
567   439   10010100100101001001010010100100101 96    1 0  470    23   
568   53    10010100100101001001010010100100101 185   0 1  768    22   
569   197   10010100100101001001010010100100101 183   0 0  290    34   
570   741   10010100100101001001010010100100101 39    2 1  588    33   
571   341   10010100100101001001010010100100101 41    0 0  105    32   
572   549   10010100100101001001010010100100101 41    1 0  403    31   
573   494   10010100100101001001010010100100101 75    1 1  701    30   
574   108   10010100100101001001010010100100101 130   0 0  220    29   
575   652   10010100100101001001010010100100101 128   2 1  518    28   
576   252   10010100100101001001010010100100101 130   0 0  35     27   
577   405   10010100100101001001010010100100101 130   1 0  332    26   
578   19    10010100100101001001010010100100101 219   0 1  630    25   
579   163   10010100100101001001010010100100101 217   0 0  147    24   
580   707   10010100100101001001010010100100101 73    2 0  445    23   
581   307   10010100100101001001010010100100101 75    0 1  743    22   
582   460   10010100100101001001010010100100101 75    1 0  263    21   
583   74    10010100100101001001010010100100101 164   0 1  561    20   
584   218   10010100100101001001010010100100101 162   0 0  78     19   
585   762   10010100100101001010                18    2 0  376    18   
586   362   10010100100101001010$01001010010010 20    0 1  674    17   
587   591   100101001001010010100100101001001#0 20    1 0  193    16   
588   570   10010100100101001010010010100100101 33    1 1  491    15   
589   515   10010100100101001010010010100100101 54    1 0  8      14   
590   129   10010100100101001010010010100100101 109   0 0  289    21   
591   673   10010100100101001010010010100100101 107   2 1  587    20   
592   273   10010100100101001010010010100100101 109   0 0  104    19   
593   426   10010100100101001010010010100100101 109   1 0  402    18   
594   40    10010100100101001010010010100100101 198   0 1  700    17   
595   184   10010100100101001010010010100100101 196   0 0  219    16   
596   728   10010100100101001010010010100100101 52    2 1  517    15   
597   328   10010100100101001010010010100100101 54    0 0  34     14   
598   536   10010100100101001010010010100100101 54    1 0  331    13   
599   481   10010100100101001010010010100100101 88    1 1  629    12   
600   95    10010100100101001010010010100100101 143   0 0  146    11   
601   639   10010100100101001010010010100100101 141   2 0  444    10   
602   239   10010100100101001010010010100100101 143   0 1  742    9    
603   392   10010100100101001010010010100100101 143   1 0  262    13   
604   6     10010100100101001010010010100100101 232   0 1  560    12   
605   150   10010100100101001010010010100100101 230   0 0  77     11   
606   694   10010100100101001010010010100100101 86    2 0  375    10   
607   294   10010100100101001010010010100100101 88    0 1  673    9    
608   447   10010100100101001010010010100100101 88    1 0  192    8    
609   61    10010100100101001010010010100100101 177   0 1  490    7    
610   205   10010100100101001010010010100100101 175   0 0  7      6    
611   749   100101001001010010100100101001010   31    2 0  261    8    
612   349   100101001001010010100100101001010$0 33    0 1  559    7    
613   557   10010100100101001010010010100101001 33    1 0  76     6    
614   502   10010100100101001010010010100101001 67    1 0  374    5    
615   116   10010100100101001010010010100101001 122   0 1  672    4    
616   660   10010100100101001010010010100101001 120   2 0  191    5    
617   260   10010100100101001010010010100101001 122   0 1  489    4    
618   413   10010100100101001010010010100101001 122   1 0  6      3    
619   27    10010100100101001010010010100101001 211   0 0  190    3    
620   171   10010100100101001010010010100101001 209   0 1  488    2    
621   715   10010100100101001010010010100101001 65    2 0  5      1    
622   315   10010100100101001010010010100101001 67    0 0  187    1    
623   468   10010100100101001010010010100101001 67    1 1  485    0    
624   82    10010100100101001010010010100101001 156   0 #  1      0    
625   626   10010100100101001010010010100101001 154   2 0  327    155  
626   226   10010100100101001010010010100101001 156   0 1  625    154  
627   770   100101001010                        10    2 0  142    153  
628   370   100101001010$0100101001001010010010 12    0 0  440    152  
629   599   1001010010100100101001001#010010100 12    1 1  738    151  
630   578   10010100101001001010010010100101001 25    1 0  257    150  
631   523   10010100101001001010010010100101001 46    1 1  555    149  
632   137   10010100101001001010010010100101001 101   0 0  72     148  
633   681   10010100101001001010010010100101001 99    2 0  369    147  
634   281   10010100101001001010010010100101001 101   0 1  667    146  
635   434   10010100101001001010010010100101001 101   1 0  184    145  
636   48    10010100101001001010010010100101001 190   0 0  482    144  
637   192   10010100101001001010010010100101001 188   0 1  780    143  
638   736   10010100101001001010010010100101001 44    2 0  303    142  
639   336   10010100101001001010010010100101001 46    0 1  601    141  
640   544   10010100101001001010010010100101001 46    1 0  118    140  
641   489   10010100101001001010010010100101001 80    1 0  416    139  
642   103   10010100101001001010010010100101001 135   0 1  714    138  
643   647   10010100101001001010010010100101001 133   2 0  233    137  
644   247   10010100101001001010010010100101001 135   0 1  531    136  
645   400   10010100101001001010010010100101001 135   1 0  48     135  
646   14    10010100101001001010010010100101001 224   0 0  345    134  
647   158   10010100101001001010010010100101001 222   0 1  643    133  
648   702   10010100101001001010010010100101001 78    2 0  160    132  
649   302   10010100101001001010010010100101001 80    0 0  458    131  
650   455   10010100101001001010010010100101001 80    1 1  756    130  
651   69    10010100101001001010010010100101001 169   0 0  277    129  
652   213   10010100101001001010010010100101001 167   0 1  575    128  
653   757   1001010010100100101001010           23    2 0  92     127  
654   357   1001010010100100101001010$010010100 25    0 0  390    126  
655   565   10010100101001001010010100100101001 25    1 1  688    125  
656   510   10010100101001001010010100100101001 59    1 0  207    124  
657   124   10010100101001001010010100100101001 114   0 1  505    123  
658   668   10010100101001001010010100100101001 112   2 0  22     122  
659   268   10010100101001001010010100100101001 114   0 0  318    121  
660   421   10010100101001001010010100100101001 114   1 1  616    120  
661   35    10010100101001001010010100100101001 203   0 0  133    119  
662   179   10010100101001001010010100100101001 201   0 0  431    118  
663   723   10010100101001001010010100100101001 57    2 1  729    117  
664   323   10010100101001001010010100100101001 59    0 0  248    116  
665   476   10010100101001001010010100100101001 59    1 1  546    115  
666   90    10010100101001001010010100100101001 148   0 0  63     114  
667   634   10010100101001001010010100100101001 146   2 0  360    113  
668   234   10010100101001001010010100100101001 148   0 1  658    112  
669   1     10010100101001001010010100100101001 148   0 0  175    111  
670   778   1010                                2     2 0  473    110  
671   378   1010$010010100100101001001010010100 4     0 1  771    109  
672   615   101001001#0100101001001010010100100 4     1 0  293    108  
673   607   10100100101001001#01001010010010100 9     1 1  591    107  
674   586   10100100101001001010010100100101001 17    1 0  108    106  
675   531   10100100101001001010010100100101001 38    1 0  406    105  
676   387   10100100101001001010010100100101001 93    1 1  704    104  
677   145   10100100101001001010010100100101001 235   0 0  223    103  
678   689   10100100101001001010010100100101001 91    2 1  521    102  
679   289   10100100101001001010010100100101001 93    0 0  38     101  
680   442   10100100101001001010010100100101001 93    1 0  335    100  
681   56    10100100101001001010010100100101001 182   0 1  633    99   
682   200   10100100101001001010010100100101001 180   0 0  150    98   
683   744   10100100101001001010010100100101001 36    2 0  448    97   
684   344   10100100101001001010010100100101001 38    0 1  746    96   
685   552   10100100101001001010010100100101001 38    1 0  267    95   
686   497   10100100101001001010010100100101001 72    1 1  565    94   
687   111   10100100101001001010010100100101001 127   0 0  82     93   
688   655   10100100101001001010010100100101001 125   2 0  380    92   
689   255   10100100101001001010010100100101001 127   0 1  678    91   
690   408   10100100101001001010010100100101001 127   1 0  197    90   
691   22    10100100101001001010010100100101001 216   0 1  495    89   
692   166   10100100101001001010010100100101001 214   0 0  12     88   
693   710   10100100101001001010010100100101001 70    2 0  308    87   
694   310   10100100101001001010010100100101001 72    0 1  606    86   
695   463   10100100101001001010010100100101001 72    1 0  123    85   
696   77    10100100101001001010010100100101001 161   0 0  421    84   
697   221   10100100101001001010010100100101001 159   0 1  719    83   
698   765   10100100101001010                   15    2 0  238    82   
699   365   10100100101001010$01001010010010100 17    0 1  536    81   
700   594   101001001010010100100101001001#0100 17    1 0  53     80   
701   573   10100100101001010010010100100101001 30    1 0  350    79   
702   518   10100100101001010010010100100101001 51    1 1  648    78   
703   132   10100100101001010010010100100101001 106   0 0  165    77   
704   676   10100100101001010010010100100101001 104   2 0  463    76   
705   276   10100100101001010010010100100101001 106   0 1  761    75   
706   429   10100100101001010010010100100101001 106   1 0  282    74   
707   43    10100100101001010010010100100101001 195   0 1  580    73   
708   187   10100100101001010010010100100101001 193   0 0  97     72   
709   731   10100100101001010010010100100101001 49    2 0  395    71   
710   331   10100100101001010010010100100101001 51    0 1  693    70   
711   539   10100100101001010010010100100101001 51    1 0  212    69   
712   484   10100100101001010010010100100101001 85    1 1  510    68   
713   98    10100100101001010010010100100101001 140   0 0  27     67   
714   642   10100100101001010010010100100101001 138   2 0  323    66   
715   242   10100100101001010010010100100101001 140   0 1  621    65   
716   395   10100100101001010010010100100101001 140   1 0  138    64   
717   9     10100100101001010010010100100101001 229   0 0  436    63   
718   153   10100100101001010010010100100101001 227   0 1  734    62   
719   697   10100100101001010010010100100101001 83    2 0  253    61   
720   297   10100100101001010010010100100101001 85    0 1  551    60   
721   450   10100100101001010010010100100101001 85    1 0  68     59   
722   64    10100100101001010010010100100101001 174   0 0  365    58   
723   208   10100100101001010010010100100101001 172   0 1  663    57   
724   752   101001001010010100100101001010      28    2 0  180    56   
725   352   101001001010010100100101001010$0100 30    0 0  478    55   
726   560   10100100101001010010010100101001001 30    1 1  776    54   
727   505   10100100101001010010010100101001001 64    1 0  298    53   
728   119   10100100101001010010010100101001001 119   0 1  596    52   
729   663   10100100101001010010010100101001001 117   2 0  113    51   
730   263   10100100101001010010010100101001001 119   0 0  411    50   
731   416   10100100101001010010010100101001001 119   1 1  709    49   
732   30    10100100101001010010010100101001001 208   0 0  228    48   
733   174   10100100101001010010010100101001001 206   0 1  526    47   
734   718   10100100101001010010010100101001001 62    2 0  43     46   
735   318   10100100101001010010010100101001001 64    0 0  340    45   
736   471   10100100101001010010010100101001001 64    1 1  638    44   
737   85    10100100101001010010010100101001001 153   0 0  155    43   
738   629   10100100101001010010010100101001001 151   2 0  453    42   
739   229   10100100101001010010010100101001001 153   0 1  751    41   
740   773   101001010                           7     2 0  272    40   
741   373   101001010$0100101001001010010010100 9     0 1  570    39   
742   602   1010010100100101001001#010010100100 9     1 0  87     38   
743   581   10100101001001010010010100101001001 22    1 0  385    37   
744   526   10100101001001010010010100101001001 43    1 1  683    36   
745   140   10100101001001010010010100101001001 98    0 0  202    35   
746   684   10100101001001010010010100101001001 96    2 1  500    34   
747   284   10100101001001010010010100101001001 98    0 0  17     33   
748   437   10100101001001010010010100101001001 98    1 0  313    32   
749   51    10100101001001010010010100101001001 187   0 1  611    31   
750   195   10100101001001010010010100101001001 185   0 0  128    30   
751   739   10100101001001010010010100101001001 41    2 0  426    29   
752   339   10100101001001010010010100101001001 43    0 1  724    28   
753   547   10100101001001010010010100101001001 43    1 0  243    27   
754   492   10100101001001010010010100101001001 77    1 1  541    26   
755   106   10100101001001010010010100101001001 132   0 0  58     25   
756   650   10100101001001010010010100101001001 130   2 0  355    24   
757   250   10100101001001010010010100101001001 132   0 1  653    23   
758   403   10100101001001010010010100101001001 132   1 0  170    22   
759   17    10100101001001010010010100101001001 221   0 0  468    21   
760   161   10100101001001010010010100101001001 219   0 1  766    20   
761   705   10100101001001010010010100101001001 75    2 0  287    19   
762   305   10100101001001010010010100101001001 77    0 1  585    18   
763   458   10100101001001010010010100101001001 77    1 0  102    17   
764   72    10100101001001010010010100101001001 166   0 0  400    16   
765   216   10100101001001010010010100101001001 164   0 1  698    15   
766   760   1010010100100101001010              20    2 0  217    14   
767   360   1010010100100101001010$010010100100 22    0 1  515    13   
768   568   10100101001001010010100100101001001 22    1 0  32     12   
769   513   10100101001001010010100100101001001 56    1 0  329    11   
770   127   10100101001001010010100100101001001 111   0 1  627    10   
771   671   10100101001001010010100100101001001 109   2 0  144    9    
772   271   10100101001001010010100100101001001 111   0 0  442    8    
773   424   10100101001001010010100100101001001 111   1 1  740    7    
774   38    10100101001001010010100100101001001 200   0 0  259    6    
775   182   10100101001001010010100100101001001 198   0 1  557    5    
776   726   10100101001001010010100100101001001 54    2 0  74     4    
777   326   10100101001001010010100100101001001 56    0 0  372    3    
778   479   10100101001001010010100100101001001 56    1 1  670    2    
779   93    10100101001001010010100100101001001 145   0 0  188    2    
780   637   10100101001001010010100100101001001 143   2 1  486    1    
781   237   10100101001001010010100100101001001 145   0 0  3      0    
782   4     10100101001001010010100100101001001 145   0 �  0      -1   
Length 1, x at 3, y ends at 4, z at 5
0
Length 88, x at 10, y ends at 11, z at 12
0010010100100101001010010010100100101001010010010100101001001010010010100101001001010010
Length 90, x at 12, y ends at 13, z at 14
001001010010010100101001001010010010100101001001010010100100101001001010010100100101001010
Length 122, x at 20, y ends at 21, z at 22
00100101001001010010100100101001010010010100100101001010010010100100101001010010010100101001001010010010100101001001010010
Length 124, x at 22, y ends at 23, z at 24
0010010100100101001010010010100101001001010010010100101001001010010010100101001001010010100100101001001010010100100101001010
Length 135, x at 46, y ends at 47, z at 48
001001010010100100101001001010010100100101001010010010100100101001010010010100100101001010010010100101001001010010010100101001001010010
Length 137, x at 48, y ends at 49, z at 50
00100101001010010010100100101001010010010100101001001010010010100101001001010010010100101001001010010100100101001001010010100100101001010
Length 148, x at 70, y ends at 71, z at 72
0010010100101001001010010100100101001001010010100100101001010010010100100101001010010010100100101001010010010100101001001010010010100101001001010010
Length 153, x at 140, y ends at 141, z at 142
001010010010100101001001010010100100101001001010010100100101001010010010100100101001010010010100100101001010010010100101001001010010010100101001001010010
Length 155, x at 325, y ends at 326, z at 327
01001010010010100101001001010010100100101001001010010100100101001010010010100100101001010010010100100101001010010010100101001001010010010100101001001010010
